Title,Price,M.R.P,Ratings
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499","₹16,999",4.2
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹12,275","₹18,990",4.2
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499","₹16,999",4.2
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹12,998","₹18,990",4.2
SAMSUNG Guru FM Plus SM-B110E/D,"₹1,599","₹1,662",4.3
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,999","₹15,999",4.2
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499","₹16,999",4.2
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹12,248","₹18,990",4.2
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹11,398","₹17,990",4.2
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹11,695","₹17,990",4.2
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹11,699","₹17,990",4.2
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹11,999","₹18,990",4.2
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999","₹15,999",4.2
SAMSUNG GT 1200 R/I/M,"₹1,349","₹1,999",3.9
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹29,999","₹69,999",4.3
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)","₹29,999","₹69,999",4.3
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999","₹15,999",4.2
SAMSUNG GT-E1215,"₹1,259","₹1,999",4.3
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹7,999","₹11,911",4.1
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,490","₹18,490",4.2
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)","₹29,999","₹69,999",4.3
SAMSUNG Guru Music 2,"₹2,499","₹2,799",4.2
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹14,999","₹24,499",4.2
SAMSUNG SM-B310EZDDINS,"₹1,799","₹2,899",3.1
